RECTYPE,YEAR,CASEID,REGION,STATEFIP,MSASIZE,FAMINCOME,HH_SIZE,POVERTY130,POVERTY185,HH_CHILD,AGEYCHILD,HH_NUMADULTS,PERNUM,LINENO,WT06,AGE,SEX,RACE,MARST,GENHEALTH,BMI,EDUC,EDUCYRS,VETSTAT,MULTJOBS,OCC2,FULLPART,UHRSWORKT,SPEMPNOT,PED,WBLADDER,ACT_FOOD,ACT_PCARE,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_TRAVEL,ACT_WORK
1,2012,2.01201E+13,3,28,0,12,2,,,0,999,2,1,1,13368058.72,58,2,100,1,3,,30,213,2,1,124,1,42,1,,9,135,570,0,268,0,85,0
1,2012,2.01201E+13,1,9,4,12,4,,,1,5,2,1,1,2073653.701,35,2,100,1,1,,30,214,2,99,9999,99,9999,0,,7,150,750,0,540,0,0,0
1,2012,2.01201E+13,2,18,0,14,5,,,1,5,2,1,1,7178921.68,36,1,100,1,99,,21,112,2,0,200,1,50,1,,999,90,480,0,100,30,50,660
1,2012,2.01201E+13,4,53,2,9,2,,,0,999,2,1,1,6359439.645,77,1,100,1,1,,21,112,1,99,9999,99,9999,0,,9,45,525,0,490,180,50,0
1,2012,2.01201E+13,3,22,3,13,1,,,0,999,1,1,1,1039396.226,61,2,110,4,2,,32,216,2,0,127,1,40,99,,9,70,865,0,150,0,70,240
1,2012,2.01201E+13,3,12,3,5,1,,,0,999,1,1,1,2684255.464,77,2,100,3,3,,40,318,2,99,9999,99,9999,99,,3,90,420,360,465,0,60,0
1,2012,2.01201E+13,1,34,7,15,3,,,1,1,2,1,1,2463399.073,34,1,100,1,1,,40,216,2,0,120,1,50,1,,5,95,460,0,425,0,65,0
1,2012,2.01201E+13,4,6,6,15,2,,,0,999,2,1,1,33939350.19,29,1,100,1,1,,40,216,2,0,131,1,50,1,,10,135,585,0,295,75,118,0
1,2012,2.01201E+13,4,8,5,14,1,,,0,999,1,1,1,1443530.413,65,2,110,6,2,,40,216,2,0,130,1,40,99,,7,40,557,0,100,0,160,150
1,2012,2.01201E+13,3,51,5,6,2,,,0,999,2,1,1,4631447.626,55,1,100,6,4,,15,110,2,99,9999,99,9999,99,,7,55,630,0,425,0,0,0
1,2012,2.01201E+13,4,41,0,4,1,,,0,999,1,1,1,5266763.914,85,2,100,3,3,,21,112,2,99,9999,99,9999,99,,9,50,560,0,485,45,43,0
1,2012,2.01201E+13,3,21,5,13,2,,,0,999,2,1,1,9807369.539,70,1,100,1,1,,21,112,2,99,9999,99,9999,0,,10,255,615,0,312,90,85,0
1,2012,2.01201E+13,3,45,4,12,3,,,0,999,3,1,1,36110972.1,25,1,100,6,2,,20,111,2,99,9999,99,9999,99,,5,30,780,0,630,0,0,0
1,2012,2.01201E+13,3,54,0,14,3,,,0,999,3,1,1,14411671.13,64,1,100,1,1,,21,112,2,99,9999,99,9999,0,,8,75,530,45,422,195,135,0
1,2012,2.01201E+13,3,24,6,15,3,,,1,17,2,1,1,5182329.447,75,2,100,1,4,,40,317,2,0,110,1,45,1,,5,30,485,0,10,0,345,220
1,2012,2.01201E+13,3,12,5,15,2,,,0,999,2,1,1,3957146.148,18,1,110,6,2,,17,112,2,0,140,2,15,99,,8,30,780,0,290,0,30,0
1,2012,2.01201E+13,4,53,2,1,6,,,1,3,1,1,1,3989940.965,16,2,100,6,1,,14,109,99,99,9999,99,9999,99,,8,120,615,0,445,0,10,0
1,2012,2.01201E+13,3,24,6,7,1,,,0,999,1,1,1,3247822.825,67,2,100,3,3,,21,112,2,99,9999,99,9999,99,,10,180,610,0,590,0,60,0
1,2012,2.01201E+13,1,42,4,10,4,,,1,6,2,1,1,7850873.439,44,1,100,1,1,,21,112,2,0,200,1,55,0,,10,65,500,0,40,0,37,698
1,2012,2.01201E+13,3,48,7,15,4,,,0,999,1,1,1,2521055.839,43,1,100,4,2,,41,318,2,0,110,1,45,99,,4,55,560,85,230,0,105,5
1,2012,2.01201E+13,2,19,3,16,2,,,0,999,2,1,1,9368204.04,60,1,100,1,5,,40,318,2,0,110,1,47,0,,8,140,430,0,110,0,190,560
1,2012,2.01201E+13,1,25,6,13,3,,,1,10,2,1,1,6839717.682,36,2,100,6,3,,40,216,2,0,150,1,35,99,,7,47,590,0,98,30,102,420
1,2012,2.01201E+13,4,32,5,9,6,,,1,17,5,1,1,9850544.003,21,1,100,6,3,,16,111,2,99,9999,99,9999,0,,6,70,480,0,740,0,50,0
